PVF,E
16.81220528831453, 8.984332069458182
16.770201329320695, 10.02170568194307
16.792571253842315, 10.386958731728761
17.039606031832886, 10.53137707440378
17.21599047266524, 10.886841960655017
17.27070827365338, 11.165375315968788
17.867132304424096, 10.570529728541597
18.02790607850395, 10.834466699637323
18.355086341471264, 10.315178865809429
18.637848624812914, 10.10979915375316
19.0292418365869, 9.976542751950763
19.0717285997071, 8.680898999890097
20.350515795741668, 8.22652214529069
21.111576033603168, 8.38158726233652
21.05074271368106, 7.442782173865259
21.652316655133014, 6.950282998131662
22.108727489257607, 7.332021375975382
22.573667862948003, 7.927038685569842
23.601879717398653, 8.318565226948015
24.01145855126575, 7.655717661281459
22.56433364983826, 6.844502143092647
23.004168208957626, 5.8807973403670735
22.291227449023932, 5.0870974832399165
24.361491542881055, 5.805583031102318
24.342501247243995, 5.365459116386416
21.502003637124417, 11.07144329047148
21.53869675072823, 10.947116441367182
20.751726024751758, 12.02518820749533
20.820606080113297, 12.07722002417848
20.005149910681236, 12.523869381250687
25.962470025910488, 9.188853170678096
25.72267730981541, 2.8267185954500493
